test,position,x_center_mm,y_center_mm,repeat,reference_mass_g,measured_g,stable_pp_g,detect_delay_s,removed_detected,result
A4_flat,1,129.5,157,1,,,,,,NOT_RUN
A4_flat,1,129.5,157,2,,,,,,NOT_RUN
A4_flat,1,129.5,157,3,,,,,,NOT_RUN
A4_flat,1,129.5,157,4,,,,,,NOT_RUN
A4_flat,1,129.5,157,5,,,,,,NOT_RUN
A4_flat,1,129.5,157,6,,,,,,NOT_RUN
A4_flat,1,129.5,157,7,,,,,,NOT_RUN
A4_flat,1,129.5,157,8,,,,,,NOT_RUN
A4_flat,1,129.5,157,9,,,,,,NOT_RUN
A4_flat,1,129.5,157,10,,,,,,NOT_RUN
A4_flat,2,129.5,162,1,,,,,,NOT_RUN
A4_flat,2,129.5,162,2,,,,,,NOT_RUN
A4_flat,2,129.5,162,3,,,,,,NOT_RUN
A4_flat,2,129.5,162,4,,,,,,NOT_RUN
A4_flat,2,129.5,162,5,,,,,,NOT_RUN
A4_flat,2,129.5,162,6,,,,,,NOT_RUN
A4_flat,2,129.5,162,7,,,,,,NOT_RUN
A4_flat,2,129.5,162,8,,,,,,NOT_RUN
A4_flat,2,129.5,162,9,,,,,,NOT_RUN
A4_flat,2,129.5,162,10,,,,,,NOT_RUN
A4_flat,3,129.5,167,1,,,,,,NOT_RUN
A4_flat,3,129.5,167,2,,,,,,NOT_RUN
A4_flat,3,129.5,167,3,,,,,,NOT_RUN
A4_flat,3,129.5,167,4,,,,,,NOT_RUN
A4_flat,3,129.5,167,5,,,,,,NOT_RUN
A4_flat,3,129.5,167,6,,,,,,NOT_RUN
A4_flat,3,129.5,167,7,,,,,,NOT_RUN
A4_flat,3,129.5,167,8,,,,,,NOT_RUN
A4_flat,3,129.5,167,9,,,,,,NOT_RUN
A4_flat,3,129.5,167,10,,,,,,NOT_RUN
A4_flat,4,130.75,157,1,,,,,,NOT_RUN
A4_flat,4,130.75,157,2,,,,,,NOT_RUN
A4_flat,4,130.75,157,3,,,,,,NOT_RUN
A4_flat,4,130.75,157,4,,,,,,NOT_RUN
A4_flat,4,130.75,157,5,,,,,,NOT_RUN
A4_flat,4,130.75,157,6,,,,,,NOT_RUN
A4_flat,4,130.75,157,7,,,,,,NOT_RUN
A4_flat,4,130.75,157,8,,,,,,NOT_RUN
A4_flat,4,130.75,157,9,,,,,,NOT_RUN
A4_flat,4,130.75,157,10,,,,,,NOT_RUN
A4_flat,5,130.75,162,1,,,,,,NOT_RUN
A4_flat,5,130.75,162,2,,,,,,NOT_RUN
A4_flat,5,130.75,162,3,,,,,,NOT_RUN
A4_flat,5,130.75,162,4,,,,,,NOT_RUN
A4_flat,5,130.75,162,5,,,,,,NOT_RUN
A4_flat,5,130.75,162,6,,,,,,NOT_RUN
A4_flat,5,130.75,162,7,,,,,,NOT_RUN
A4_flat,5,130.75,162,8,,,,,,NOT_RUN
A4_flat,5,130.75,162,9,,,,,,NOT_RUN
A4_flat,5,130.75,162,10,,,,,,NOT_RUN
A4_flat,6,130.75,167,1,,,,,,NOT_RUN
A4_flat,6,130.75,167,2,,,,,,NOT_RUN
A4_flat,6,130.75,167,3,,,,,,NOT_RUN
A4_flat,6,130.75,167,4,,,,,,NOT_RUN
A4_flat,6,130.75,167,5,,,,,,NOT_RUN
A4_flat,6,130.75,167,6,,,,,,NOT_RUN
A4_flat,6,130.75,167,7,,,,,,NOT_RUN
A4_flat,6,130.75,167,8,,,,,,NOT_RUN
A4_flat,6,130.75,167,9,,,,,,NOT_RUN
A4_flat,6,130.75,167,10,,,,,,NOT_RUN
A4_flat,7,132,157,1,,,,,,NOT_RUN
A4_flat,7,132,157,2,,,,,,NOT_RUN
A4_flat,7,132,157,3,,,,,,NOT_RUN
A4_flat,7,132,157,4,,,,,,NOT_RUN
A4_flat,7,132,157,5,,,,,,NOT_RUN
A4_flat,7,132,157,6,,,,,,NOT_RUN
A4_flat,7,132,157,7,,,,,,NOT_RUN
A4_flat,7,132,157,8,,,,,,NOT_RUN
A4_flat,7,132,157,9,,,,,,NOT_RUN
A4_flat,7,132,157,10,,,,,,NOT_RUN
A4_flat,8,132,162,1,,,,,,NOT_RUN
A4_flat,8,132,162,2,,,,,,NOT_RUN
A4_flat,8,132,162,3,,,,,,NOT_RUN
A4_flat,8,132,162,4,,,,,,NOT_RUN
A4_flat,8,132,162,5,,,,,,NOT_RUN
A4_flat,8,132,162,6,,,,,,NOT_RUN
A4_flat,8,132,162,7,,,,,,NOT_RUN
A4_flat,8,132,162,8,,,,,,NOT_RUN
A4_flat,8,132,162,9,,,,,,NOT_RUN
A4_flat,8,132,162,10,,,,,,NOT_RUN
A4_flat,9,132,167,1,,,,,,NOT_RUN
A4_flat,9,132,167,2,,,,,,NOT_RUN
A4_flat,9,132,167,3,,,,,,NOT_RUN
A4_flat,9,132,167,4,,,,,,NOT_RUN
A4_flat,9,132,167,5,,,,,,NOT_RUN
A4_flat,9,132,167,6,,,,,,NOT_RUN
A4_flat,9,132,167,7,,,,,,NOT_RUN
A4_flat,9,132,167,8,,,,,,NOT_RUN
A4_flat,9,132,167,9,,,,,,NOT_RUN
A4_flat,9,132,167,10,,,,,,NOT_RUN
5g_point,1,35,20,1,,,,,,NOT_RUN
5g_point,1,35,20,2,,,,,,NOT_RUN
5g_point,1,35,20,3,,,,,,NOT_RUN
5g_point,1,35,20,4,,,,,,NOT_RUN
5g_point,1,35,20,5,,,,,,NOT_RUN
5g_point,1,35,20,6,,,,,,NOT_RUN
5g_point,1,35,20,7,,,,,,NOT_RUN
5g_point,1,35,20,8,,,,,,NOT_RUN
5g_point,1,35,20,9,,,,,,NOT_RUN
5g_point,1,35,20,10,,,,,,NOT_RUN
5g_point,2,35,162,1,,,,,,NOT_RUN
5g_point,2,35,162,2,,,,,,NOT_RUN
5g_point,2,35,162,3,,,,,,NOT_RUN
5g_point,2,35,162,4,,,,,,NOT_RUN
5g_point,2,35,162,5,,,,,,NOT_RUN
5g_point,2,35,162,6,,,,,,NOT_RUN
5g_point,2,35,162,7,,,,,,NOT_RUN
5g_point,2,35,162,8,,,,,,NOT_RUN
5g_point,2,35,162,9,,,,,,NOT_RUN
5g_point,2,35,162,10,,,,,,NOT_RUN
5g_point,3,35,304,1,,,,,,NOT_RUN
5g_point,3,35,304,2,,,,,,NOT_RUN
5g_point,3,35,304,3,,,,,,NOT_RUN
5g_point,3,35,304,4,,,,,,NOT_RUN
5g_point,3,35,304,5,,,,,,NOT_RUN
5g_point,3,35,304,6,,,,,,NOT_RUN
5g_point,3,35,304,7,,,,,,NOT_RUN
5g_point,3,35,304,8,,,,,,NOT_RUN
5g_point,3,35,304,9,,,,,,NOT_RUN
5g_point,3,35,304,10,,,,,,NOT_RUN
5g_point,4,130.75,20,1,,,,,,NOT_RUN
5g_point,4,130.75,20,2,,,,,,NOT_RUN
5g_point,4,130.75,20,3,,,,,,NOT_RUN
5g_point,4,130.75,20,4,,,,,,NOT_RUN
5g_point,4,130.75,20,5,,,,,,NOT_RUN
5g_point,4,130.75,20,6,,,,,,NOT_RUN
5g_point,4,130.75,20,7,,,,,,NOT_RUN
5g_point,4,130.75,20,8,,,,,,NOT_RUN
5g_point,4,130.75,20,9,,,,,,NOT_RUN
5g_point,4,130.75,20,10,,,,,,NOT_RUN
5g_point,5,130.75,162,1,,,,,,NOT_RUN
5g_point,5,130.75,162,2,,,,,,NOT_RUN
5g_point,5,130.75,162,3,,,,,,NOT_RUN
5g_point,5,130.75,162,4,,,,,,NOT_RUN
5g_point,5,130.75,162,5,,,,,,NOT_RUN
5g_point,5,130.75,162,6,,,,,,NOT_RUN
5g_point,5,130.75,162,7,,,,,,NOT_RUN
5g_point,5,130.75,162,8,,,,,,NOT_RUN
5g_point,5,130.75,162,9,,,,,,NOT_RUN
5g_point,5,130.75,162,10,,,,,,NOT_RUN
5g_point,6,130.75,304,1,,,,,,NOT_RUN
5g_point,6,130.75,304,2,,,,,,NOT_RUN
5g_point,6,130.75,304,3,,,,,,NOT_RUN
5g_point,6,130.75,304,4,,,,,,NOT_RUN
5g_point,6,130.75,304,5,,,,,,NOT_RUN
5g_point,6,130.75,304,6,,,,,,NOT_RUN
5g_point,6,130.75,304,7,,,,,,NOT_RUN
5g_point,6,130.75,304,8,,,,,,NOT_RUN
5g_point,6,130.75,304,9,,,,,,NOT_RUN
5g_point,6,130.75,304,10,,,,,,NOT_RUN
5g_point,7,226,20,1,,,,,,NOT_RUN
5g_point,7,226,20,2,,,,,,NOT_RUN
5g_point,7,226,20,3,,,,,,NOT_RUN
5g_point,7,226,20,4,,,,,,NOT_RUN
5g_point,7,226,20,5,,,,,,NOT_RUN
5g_point,7,226,20,6,,,,,,NOT_RUN
5g_point,7,226,20,7,,,,,,NOT_RUN
5g_point,7,226,20,8,,,,,,NOT_RUN
5g_point,7,226,20,9,,,,,,NOT_RUN
5g_point,7,226,20,10,,,,,,NOT_RUN
5g_point,8,226,162,1,,,,,,NOT_RUN
5g_point,8,226,162,2,,,,,,NOT_RUN
5g_point,8,226,162,3,,,,,,NOT_RUN
5g_point,8,226,162,4,,,,,,NOT_RUN
5g_point,8,226,162,5,,,,,,NOT_RUN
5g_point,8,226,162,6,,,,,,NOT_RUN
5g_point,8,226,162,7,,,,,,NOT_RUN
5g_point,8,226,162,8,,,,,,NOT_RUN
5g_point,8,226,162,9,,,,,,NOT_RUN
5g_point,8,226,162,10,,,,,,NOT_RUN
5g_point,9,226,304,1,,,,,,NOT_RUN
5g_point,9,226,304,2,,,,,,NOT_RUN
5g_point,9,226,304,3,,,,,,NOT_RUN
5g_point,9,226,304,4,,,,,,NOT_RUN
5g_point,9,226,304,5,,,,,,NOT_RUN
5g_point,9,226,304,6,,,,,,NOT_RUN
5g_point,9,226,304,7,,,,,,NOT_RUN
5g_point,9,226,304,8,,,,,,NOT_RUN
5g_point,9,226,304,9,,,,,,NOT_RUN
5g_point,9,226,304,10,,,,,,NOT_RUN
