name,kind,xmin,ymin,zmin,xmax,ymax,zmax
셸_격납슬롯내벽,print,13.5,12.000999450683594,6.0,19.5,311.9989929199219,70.0
R3_base_255x324,sheet_fabrication,0.0,0.0,0.0,255.0,324.0,6.0
R3_front_wall,print,0.0,0.0,6.0,255.0,6.0,78.0
R3_rear_wall,print,0.0,318.0,6.0,255.0,324.0,78.0
R3_right_wall,print,243.0,6.0,6.0,255.0,318.0,70.0
R3_front_top_seal,print,22.0,6.0,64.0,251.5,12.0,78.0
R3_rear_top_seal,print,22.0,312.0,64.0,251.5,318.0,78.0
R3_right_top_seal,print,251.5,6.0,70.0,255.0,318.0,78.0
R3_deck_support,print,24.0,78.0,6.0,30.0,86.0,41.0
R3_deck_support.001,print,235.0,78.0,6.0,241.0,86.0,41.0
R3_deck_support.002,print,24.0,238.0,6.0,30.0,246.0,41.0
R3_deck_support.003,print,235.0,238.0,6.0,241.0,246.0,41.0
R3_captive_front_panel,print,24.400001525878906,1.0,8.0,240.60000610351562,20.0,39.0
R3_fixed_electronics_deck,sheet_fabrication,22.0,6.0,41.0,243.0,318.0,44.0
R3_overload_stop,print,26.5,25.5,44.0,31.5,30.5,47.19999694824219
R3_overload_stop.001,print,230.0,25.5,44.0,235.0,30.5,47.19999694824219
R3_overload_stop.002,print,26.5,303.5,44.0,31.5,308.5,47.19999694824219
R3_overload_stop.003,print,230.0,303.5,44.0,235.0,308.5,47.19999694824219
도어_가이드판_앞,metal_fabrication,0.0,6.0,6.0,22.0,12.0,78.0
도어_가이드판_뒤,metal_fabrication,0.0,312.0,6.0,22.0,318.0,78.0
도어_본체,machined_part,5.0,12.5,70.0,251.0,311.5,78.0
도어_숄더볼트_앞,purchased_envelope,6.5,6.5,71.5,11.5,22.0,76.5
도어_숄더볼트_뒤,purchased_envelope,6.5,302.0,71.5,11.5,317.5,76.5
R3_door_magnet,purchased_envelope,234.5,278.5,70.0,240.5,285.5,72.0
잠금_5065_프레임,purchased_envelope,209.00001525878906,49.20000076293945,20.0,236.00001525878906,70.80001068115234,37.5
잠금_5065_코일,purchased_envelope,211.00001525878906,52.500003814697266,23.0,233.50001525878906,67.50000762939453,35.5
잠금_5065_플랜지,purchased_envelope,209.00001525878906,46.000003814697266,20.0,236.00001525878906,74.00000762939453,21.0
R3_lock_bolt_4p3mm,purchased_envelope,234.50001525878906,57.500003814697266,23.5,242.00001525878906,62.500003814697266,33.5
