reference,part,quantity,order_option,purchase_url,technical_source,unit_usd,status,model_objects,checked_date
M1,Actuonix PQ12-100-12-S,1,100:1 / 12V / S형 / 20mm. R형 6V나 P형으로 임의 대체 금지,https://www.actuonix.com/pq12-100-12-s,https://www.actuonix.com/assets/images/datasheets/ActuonixPQ12Datasheet.pdf,65,페이지 In Stock 13개 표시; 20mm 명목 스트로크 중 18mm를 설계에 사용,L_PQ12_*,2026-09-09
M1-C,Actuonix PQ12 Cable Adapter with S Extension Cable,1,PQ12 S 전용 케이블 어댑터 포함 묶음,https://www.actuonix.com/cable-adapter-s-bundle,,6,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_motor_cable,2026-09-09
U-M,Pololu DRV8876 carrier #4036,1,15.2×17.8mm / 12V 양방향 구동. 출고 2A 제한을 그대로 사용하지 않음,https://www.pololu.com/product/4036,https://www.pololu.com/file/0J1882/drv887x-single-brushed-dc-motor-driver-carrier-dimensions.pdf,8.15,"판매 페이지 확인, backorder 가능 표시; 즉시 재고 수량 미확인",L_DRV8876*,2026-09-09
GR1..2,RobotDigg 440C MGN7 rail + MGN7C carriage,2,SS_MGN7-200L / 200mm / 표준 MGN7C 블록 1개씩. MGN7H 제외,https://www.robotdigg.com/product/840/440C-SUS-MGN7-linear-rail-with-carriage,,,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_MGN7_200_rail_* / L_MGN7C_*,2026-09-09
BR1..4,623ZZ miniature ball bearing,4,내경3 / 외경10 / 폭4mm / ZZ 양면 실드. V623·F623 대체 금지,https://us.misumi-ec.com/blog/ball-bearings/miniature/623-ball-bearings-3x10x4mm-z-zz-2rs/,,,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_623ZZ_*,2026-09-09
GB1..4,RobotDigg LM6UU linear bearing,4,내경6 / 외경12 / 길이19mm. LM6LUU 35mm 제외,https://www.robotdigg.com/product/42,,,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_LM6UU_*,2026-09-09
GS1,Hardened 6mm smooth rod,1,Ø6×300mm 1개 구입 → 68mm 4개 절단·양끝 면취. 절단 손실 포함,https://www.robotdigg.com/product/1047/6mm-smooth-rods-267mm%2C-300mm%2C-400mm-and-500mm,,,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_6mm_shaft_*,2026-09-09
LC1,Zemic L6D-C3-3kg-0.40B,1,반드시 C3 / 3kg / 0.40B. 판매 페이지에 용량 옵션이 없으면 정확한 형번 확인 후 주문,https://www.dscbalances.com/products/zemic-l6d-aluminium-single-point-load-cell-oiml-approved-3kg-50kg,https://www.zemiceurope.com/media/Documentation/L6D_Datasheet.pdf,30,L6D 판매·장바구니·재고 표시 확인. 정확한 3kg 옵션 재고는 확인 필요; 제조사 직접 견적도 가능,R3_L6D_3kg_envelope,2026-09-09
U-HX,Adafruit HX711 #5974,1,25.5×23×12.1mm / 10SPS / A채널 gain128 / VCC와 VIO 모두 5V,https://www.adafruit.com/product/5974,https://learn.adafruit.com/adafruit-hx711-24-bit-adc/pinouts,9.95,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_HX711*,2026-09-09
U1,Arduino Nano A000005,1,ATmega328P 5V / 18×45mm. 아래쪽 핀 높이 포함 배치 여유 확인,https://store.arduino.cc/products/arduino-nano,https://docs.arduino.cc/resources/datasheets/A000005-datasheet.pdf,,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_Nano*,2026-09-09
