name,kind,part,xmin,ymin,zmin,xmax,ymax,zmax,parent
셸_격납슬롯내벽,print,,13.5,12.000999450683594,36.0,19.5,311.9989929199219,100.0,
R3_base_255x324,sheet_fabrication,,0.0,0.0,0.0,255.0,324.0,6.0,
R3_right_wall,print,,243.0,6.0,36.0,255.0,318.0,100.0,
도어_가이드판_앞,metal_fabrication,,0.0,6.0,36.0,22.0,12.0,108.0,
도어_가이드판_뒤,metal_fabrication,,0.0,312.0,36.0,22.0,318.0,108.0,
도어_본체,print,,5.0,12.5,100.0,251.0,311.5,108.0,RIG_도어_Y축회전_하강
도어_숄더볼트_앞,purchased_envelope,,6.5,6.5,101.5,11.5,22.0,106.5,RIG_도어_Y축회전_하강
도어_숄더볼트_뒤,purchased_envelope,,6.5,302.0,101.5,11.5,317.5,106.5,RIG_도어_Y축회전_하강
잠금_5065_프레임,purchased_envelope,,209.00001525878906,49.20000076293945,50.0,236.00001525878906,70.80001068115234,67.5,
잠금_5065_코일,purchased_envelope,,211.00001525878906,52.500003814697266,53.0,233.50001525878906,67.50000762939453,65.5,
잠금_5065_플랜지,purchased_envelope,,209.00001525878906,46.000003814697266,50.0,236.00001525878906,74.00000762939453,51.0,
R3_lock_bolt_4p3mm,purchased_envelope,,234.50001525878906,57.500003814697266,53.5,242.00001525878906,62.500003814697266,63.5,
R3_lock_base,metal_fabrication,,205.0,44.0,42.0,238.0,77.0,50.0,
R3_door_keeper,metal_fabrication,,239.0,52.0,50.5,250.0,68.0,101.5,RIG_도어_Y축회전_하강
R3_keeper_blind_M2p5,purchased_envelope,,244.75,53.25,99.79999542236328,247.25,55.75,105.5999984741211,RIG_도어_Y축회전_하강
R3_keeper_inside_head,purchased_envelope,,243.64999389648438,52.150001525878906,97.80000305175781,248.35000610351562,56.849998474121094,99.80000305175781,RIG_도어_Y축회전_하강
R3_keeper_blind_M2p5.001,purchased_envelope,,244.75,64.25,99.79999542236328,247.25,66.75,105.5999984741211,RIG_도어_Y축회전_하강
R3_keeper_inside_head.001,purchased_envelope,,243.64999389648438,63.150001525878906,97.80000305175781,248.35000610351562,67.8499984741211,99.80000305175781,RIG_도어_Y축회전_하강
R3_cell_loaded_M6,purchased_envelope,,117.94999694824219,154.6999969482422,60.0,128.5500030517578,165.3000030517578,80.94999694824219,LIFT_VERTICAL_27mm
R3_cell_loaded_M6.001,purchased_envelope,,132.9499969482422,154.6999969482422,60.0,143.5500030517578,165.3000030517578,80.94999694824219,LIFT_VERTICAL_27mm
R3_single_weighing_tray,sheet_fabrication,,24.0,8.0,78.0,237.5,316.0,81.0,LIFT_VERTICAL_27mm
R3_L6D_3kg_envelope,purchased_envelope,Zemic L6D-C3-3kg-0.40B; actual beam/holes supplied by manufacturer,115.75,42.0,44.0,145.75,172.0,66.0,LIFT_VERTICAL_27mm
R3_cell_loaded_spacer,metal_fabrication,,115.75,147.0,66.0,145.75,172.0,78.0,LIFT_VERTICAL_27mm
L_front_wall,custom,,0.0,0.0,6.0,255.0,6.0,108.0,
L_captive_service_panel,custom,,25.5,1.0,8.5,240.5,5.0,65.5,
L_rear_wall,custom,,0.0,318.0,6.0,255.0,324.0,108.0,
L_right_lower_extension,custom,,243.0,6.0,6.0,255.0,318.0,36.0,
L_right_top_seal,custom,,251.5,6.0,100.0,255.0,318.0,108.0,
L_left_outer_wall,custom,,0.0,12.0,6.0,4.0,312.0,108.0,
L_slot_inner_extension,custom,,13.5,12.0,6.0,19.5,312.0,36.0,
L_guide_lower_support_6,custom,,0.0,6.0,6.0,22.0,12.0,36.0,
L_guide_lower_support_312,custom,,0.0,312.0,6.0,22.0,318.0,36.0,
L_panel_internal_ear_29,custom,,26.0,4.0,60.0,32.0,20.0,66.0,
L_panel_internal_ear_229,custom,,226.0,4.0,60.0,232.0,20.0,66.0,
L_deck_post_37_185,custom,,34.0,182.0,6.0,40.0,188.0,71.0,
L_deck_post_37_300,custom,,34.0,297.0,6.0,40.0,303.0,71.0,
L_deck_post_224_185,custom,,221.0,182.0,6.0,227.0,188.0,71.0,
L_deck_post_224_300,custom,,221.0,297.0,6.0,227.0,303.0,71.0,
L_lock_pedestal_210_48,custom,,208.0,46.0,6.0,212.0,50.0,42.0,
L_lock_pedestal_210_72,custom,,208.0,70.0,6.0,212.0,74.0,42.0,
L_lock_pedestal_233_48,custom,,231.0,46.0,6.0,235.0,50.0,42.0,
L_lock_pedestal_233_72,custom,,231.0,70.0,6.0,235.0,74.0,42.0,
L_shaft_socket_84_140,custom,,77.0,133.0,6.0,91.0,147.0,17.0,
L_shaft_socket_84_270,custom,,77.0,263.0,6.0,91.0,277.0,17.0,
L_shaft_socket_194_140,custom,,187.0,133.0,6.0,201.0,147.0,17.0,
L_shaft_socket_194_270,custom,,187.0,263.0,6.0,201.0,277.0,17.0,
L_PQ12_fixed_mount,custom,,124.0,200.0,6.0,136.0,210.0,16.0,
L_limit_switch_backplate_58,custom,,58.0,203.0,6.0,71.0,206.0,72.0,
L_limit_switch_foot_58,custom,,55.0,203.0,6.0,74.0,209.0,9.0,
L_limit_switch_backplate_210,custom,,210.0,203.0,6.0,223.0,206.0,72.0,
L_limit_switch_foot_210,custom,,207.0,203.0,6.0,226.0,209.0,9.0,
L_switch_mount_latch_retracted,custom,,242.79998779296875,86.69999694824219,44.0,245.0,99.5,54.0,
L_switch_mount_latch_extended,custom,,226.0,35.80000305175781,6.0,239.0,39.0,54.0,
L_switch_mount_panel,custom,,65.0,12.800000190734863,6.0,78.0,15.800000190734863,62.0,
L_switch_mount_deck,custom,,205.0,299.79998779296875,6.0,218.0,302.79998779296875,71.0,
L_switch_mount_closed,custom,,243.10000610351562,297.79998779296875,89.0,249.0,300.79998779296875,100.0,
L_switch_mount_stowed,custom,,20.0,151.8000030517578,6.0,33.0,154.8000030517578,44.0,
L_cradle_side_76,custom,,76.0,40.0,34.0,92.0,290.0,37.0,LIFT_VERTICAL_27mm
L_cradle_side_186,custom,,186.0,40.0,34.0,202.0,290.0,37.0,LIFT_VERTICAL_27mm
L_cradle_front,custom,,92.0,40.0,34.0,186.0,68.0,37.0,LIFT_VERTICAL_27mm
L_cradle_rear,custom,,92.0,280.0,34.0,186.0,290.0,37.0,LIFT_VERTICAL_27mm
L_cell_fixed_pedestal,custom,,112.75,42.0,37.0,148.75,67.0,44.0,LIFT_VERTICAL_27mm
L_overload_stop_80_44,custom,,78.0,42.0,37.0,82.0,46.0,77.19999694824219,LIFT_VERTICAL_27mm
L_overload_stop_80_284,custom,,78.0,282.0,37.0,82.0,286.0,77.19999694824219,LIFT_VERTICAL_27mm
L_overload_stop_198_44,custom,,196.0,42.0,37.0,200.0,46.0,77.19999694824219,LIFT_VERTICAL_27mm
L_overload_stop_198_284,custom,,196.0,282.0,37.0,200.0,286.0,77.19999694824219,LIFT_VERTICAL_27mm
L_bearing_holder_84_140,custom,,76.0,132.0,30.0,92.0,148.0,43.0,LIFT_VERTICAL_27mm
L_bushing_tab_84_140_-10,custom,,72.0,137.0,34.0,76.0,143.0,37.0,LIFT_VERTICAL_27mm
L_bushing_tab_84_140_10,custom,,92.0,137.0,34.0,96.0,143.0,37.0,LIFT_VERTICAL_27mm
L_bearing_holder_84_270,custom,,76.0,262.0,30.0,92.0,278.0,43.0,LIFT_VERTICAL_27mm
L_bushing_tab_84_270_-10,custom,,72.0,267.0,34.0,76.0,273.0,37.0,LIFT_VERTICAL_27mm
L_bushing_tab_84_270_10,custom,,92.0,267.0,34.0,96.0,273.0,37.0,LIFT_VERTICAL_27mm
L_bearing_holder_194_140,custom,,186.0,132.0,30.0,202.0,148.0,43.0,LIFT_VERTICAL_27mm
L_bushing_tab_194_140_-10,custom,,182.0,137.0,34.0,186.0,143.0,37.0,LIFT_VERTICAL_27mm
L_bushing_tab_194_140_10,custom,,202.0,137.0,34.0,206.0,143.0,37.0,LIFT_VERTICAL_27mm
L_bearing_holder_194_270,custom,,186.0,262.0,30.0,202.0,278.0,43.0,LIFT_VERTICAL_27mm
L_bushing_tab_194_270_-10,custom,,182.0,267.0,34.0,186.0,273.0,37.0,LIFT_VERTICAL_27mm
