object,kind,reason
R3_door_magnet,purchased_envelope,purchased_or_reference_envelope
잠금_5065_프레임,purchased_envelope,purchased_or_reference_envelope
잠금_5065_코일,purchased_envelope,purchased_or_reference_envelope
잠금_5065_플랜지,purchased_envelope,purchased_or_reference_envelope
R3_lock_bolt_4p3mm,purchased_envelope,purchased_or_reference_envelope
잠금_S1_후퇴확인_NC,purchased_envelope,purchased_or_reference_envelope
잠금_S2_전진확인_NO,purchased_envelope,purchased_or_reference_envelope
R3_lock_base,metal_fabrication,metal_hardware_keep_metal
R3_door_keeper,metal_fabrication,metal_hardware_keep_metal
R3_D3_closed_reed,purchased_envelope,circuit_or_wiring
R3_Arduino_Nano,purchased_envelope,circuit_or_wiring
R3_Arduino_Nano_IC,purchased_envelope,circuit_or_wiring
R3_Arduino_Nano_spacer,print,circuit_or_wiring
R3_Arduino_Nano_spacer.001,print,circuit_or_wiring
R3_Nano_USB_internal,purchased_envelope,circuit_or_wiring
R3_HX711_5V_carrier,purchased_envelope,circuit_or_wiring
R3_HX711_5V_carrier_IC,purchased_envelope,circuit_or_wiring
R3_HX711_5V_carrier_spacer,print,circuit_or_wiring
R3_HX711_5V_carrier_spacer.001,print,circuit_or_wiring
R3_D24V10F5,purchased_envelope,circuit_or_wiring
R3_D24V10F5_IC,purchased_envelope,circuit_or_wiring
R3_D24V10F5_spacer,print,circuit_or_wiring
R3_D24V10F5_spacer.001,print,circuit_or_wiring
R3_MOSFET_driver,purchased_envelope,circuit_or_wiring
R3_MOSFET_driver_spacer,print,circuit_or_wiring
R3_MOSFET_driver_spacer.001,print,circuit_or_wiring
R3_IRLZ44N,purchased_envelope,circuit_or_wiring
R3_F1_T1A,purchased_envelope,circuit_or_wiring
R3_SB310,purchased_envelope,circuit_or_wiring
R3_BLE_3V3,purchased_envelope,circuit_or_wiring
R3_BLE_3V3_IC,purchased_envelope,circuit_or_wiring
R3_BLE_3V3_spacer,print,circuit_or_wiring
R3_BLE_3V3_spacer.001,print,circuit_or_wiring
R3_LDO_level_shift,purchased_envelope,circuit_or_wiring
R3_LDO_level_shift_IC,purchased_envelope,circuit_or_wiring
R3_LDO_level_shift_spacer,print,circuit_or_wiring
R3_LDO_level_shift_spacer.001,print,circuit_or_wiring
R3_D12_electronics_seated,purchased_envelope,circuit_or_wiring
R3_A3_panel_closed,purchased_envelope,circuit_or_wiring
R3_power_sense_100k33k,purchased_envelope,circuit_or_wiring
R3_power_sense_100k33k_IC,purchased_envelope,circuit_or_wiring
R3_power_sense_100k33k_spacer,print,circuit_or_wiring
R3_power_sense_100k33k_spacer.001,print,circuit_or_wiring
R3_bulk_cap,purchased_envelope,circuit_or_wiring
R3_bulk_cap.001,purchased_envelope,circuit_or_wiring
R3_D1_flyback,purchased_envelope,circuit_or_wiring
R3_12V_jack,purchased_envelope,circuit_or_wiring
R3_status_LED,purchased_envelope,circuit_or_wiring
R3_S1_adjustable_lever,wire_route,circuit_or_wiring
R3_S2_adjustable_lever,wire_route,circuit_or_wiring
R3_internal_manual_release,wire_route,circuit_or_wiring
J1_COIL,purchased_envelope,circuit_or_wiring
J2_LATCH,purchased_envelope,circuit_or_wiring
J3_CELL,purchased_envelope,circuit_or_wiring
J4_DECK,purchased_envelope,circuit_or_wiring
R3_CELL_SHIELDED,wire_route,circuit_or_wiring
R3_5V_to_HX,wire_route,circuit_or_wiring
R3_HX_CLOCK_DATA,wire_route,circuit_or_wiring
R3_12V_fused,wire_route,circuit_or_wiring
R3_COIL_pair,wire_route,circuit_or_wiring
R3_GND_star,wire_route,circuit_or_wiring
